RAZÃO SOCIAL;NOME FANTASIA;CNPJ;CONTATO (WhatsApp);E-MAIL;CIDADE;ESTADO
Construmarques Jaú materiais de construção ltda;Construmarques;6,22539E+13;1431617008;bauru@construmarques.com.br;Bauru;São Paulo
EBARA BOMBAS AMERICA DO SUL;EBARA;46.138.319/0001-89;(14) 4009-0099;antennashop.bru.ebas@ebara.com;BAURU;SP
A. M. Frascareli Comercio de Portas, Ferragens e Acessorios LTDA;FRASCARELI;10.526.438/0001-61;14 98201-0710;financeiro@frascareli.com.br;Bauru;São Paulo
Loja da Casa Materiais Para Construcao LTDA;Loja da Casa Materiais Para Construcao;59.452.802/0001-85;14 98166-3992;lojadacasabauru@gmail.com;Bauru;São Paulo
S C ELETRICA COMÉRCIO DE MATERIAIS ELÉTRICOS LTDA;SANTOS COMERCIAL;3,19849E+13;14988087199;alex@santoscomercialeletrica.com.br;BAURU;SAO PAULO
Ferrari e Redondo;Construsul;08.379.191/0001-56;(14) 3224-2200;construsulmateriais@gmail.com;Bauru;São Paulo
A L MAZIERO & CIA LTDA;AGIL CACAMBA E TERRAPLANAGEM;5,01452E+12;14998137568;ATENDIMENTOAGILCACAMBA2@GMAIL.COM;BAURU;SP
E.C. DA SILVA OLIVEIRA LIMPEZA E PROTEÇÃO ME;ECS LIMPEZA;07.132.154/0001-86;14 996261544;ecslimpeza@hotmail.com;BAURU;SP
JF SAMPAIO NETO EIRELI EPP;SAMPAIO FERRAGENS E FERRAMENTAS;4,07869E+12;14 997571013 - Giovanni Alvarenga;giovani@sampaiotem.com.br;Bauru;Sao Paulo
CRISTIANINI COMERCIAL ELETRICA LTDA;ELETRO PONTO;48.371.694/0001-08;14997026547;welliton@eletroponto.com;bauru;sao paulo
